Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,32,80,1,32,10,1792,0.776393,0.0014614998626708,0.044181,0.8220354998626709,0.382388,66.29522798901368,1206.7233559142062,686.1012127120332,883.7035015926639,0.84375
Llama2-70B,32,80,1,32,10,1920,0.781628,0.0014614998626708,0.046821,0.8299104998626708,0.382388,66.92522798901368,1195.363877029043,687.208418311425,879.2013826416467,0.84375
Llama2-70B,32,80,1,32,10,2048,0.79014,0.0014614998626708,0.0494609999999999,0.8410624998626708,0.382388,67.81738798901368,1179.6384728494686,690.2691623372527,873.6036175073439,0.84375
Llama2-70B,32,80,1,32,10,2176,0.803901,0.0014614998626708,0.052101,0.8574634998626708,0.382388,69.12946798901368,1157.2488886029605,695.9257218715435,865.6858517050525,0.84375
Llama2-70B,32,80,1,32,10,2304,0.812425,0.0014614998626708,0.054741,0.8686274998626708,0.382388,70.02258798901367,1142.488478325762,698.9886944576716,860.3731968583827,0.84375
Llama2-70B,32,80,1,32,10,2432,0.820949,0.0014614998626708,0.057381,0.8797914998626709,0.382388,70.91570798901368,1128.0998564153608,701.8554846477687,854.9318954621648,0.84375
Llama2-70B,32,80,1,32,10,2560,0.826184,0.0014614998626708,0.060021,0.8876664998626709,0.382388,71.54570798901368,1118.1663058290587,702.9584297916108,850.8497257168025,0.84375
Llama2-70B,32,80,1,32,10,2688,0.834696,0.0014614998626708,0.062661,0.8988184998626708,0.382388,72.43786798901368,1104.394734700547,706.0234342729884,845.8449953911228,0.84375
Llama2-70B,32,80,1,32,10,2816,0.843213,0.0014614998626708,0.065301,0.9099754998626708,0.382388,73.33042798901367,1090.9523126196068,708.6904386111838,840.464317570037,0.84375
Llama2-70B,32,80,1,32,10,2944,0.851737,0.0014614998626708,0.067941,0.9211394998626709,0.382388,74.22354798901368,1077.8250591286924,711.7569584033117,835.653445140122,0.84375
Llama2-70B,32,80,1,32,10,3072,0.860261,0.0014614998626708,0.070581,0.9323034998626708,0.382388,75.11666798901369,1065.009965720265,714.623748593409,830.7057376696249,0.84375
Llama2-70B,32,80,1,32,10,3200,0.87074,0.0014614998626708,0.073221,0.9454224998626708,0.382388,76.16618798901368,1050.334828513924,718.7084412717968,825.399592612946,0.84375
Llama2-70B,32,80,1,32,10,3328,0.879252,0.0014614998626708,0.075861,0.9565744998626708,0.382388,77.05834798901368,1038.1743456452728,721.7777062087245,820.8997036216284,0.84375
Llama2-70B,32,80,1,32,10,3456,0.887769,0.0014614998626708,0.078501,0.9677314998626708,0.382388,77.95090798901369,1026.286955006029,724.4404500913696,816.0235940783803,0.84375
Llama2-70B,32,80,1,32,10,3584,0.896293,0.0014614998626708,0.081141,0.9788954998626708,0.382388,78.84402798901368,1014.6615037368132,727.5112303390478,811.689068573611,0.84375
Llama2-70B,32,80,1,32,10,3712,0.904817,0.0014614998626708,0.083781,0.9900594998626708,0.382388,79.73714798901368,1003.2964812213064,730.3780205291449,807.2107625399885,0.84375
Llama2-70B,32,80,1,32,10,3840,0.910052,0.0014614998626708,0.086421,0.9979344998626708,0.382388,80.36714798901367,995.4316160495846,731.4731580114368,803.7707273995734,0.84375
Llama2-70B,32,80,1,32,10,3968,0.918564,0.0014614998626708,0.089061,1.009086499862671,0.382388,81.25930798901369,984.5026001306344,734.5459701543643,799.6677097669454,0.84375
Llama2-70B,32,80,1,32,10,4096,0.927081,0.0014614998626708,0.091701,1.0202434998626708,0.382388,82.15186798901368,973.8062196065772,737.20516683101,795.1895970589512,0.84375
Llama2-7B,8,8,1,32,32,128,0.05904,0.0032527518208821,0.00233,0.0646227518208821,0.0623185,2.280246558268229,3508.392533689748,66.81136838507663,282.9072170777297,1.0
Llama2-7B,8,4,2,32,32,128,0.03595,0.0038090618387858,0.00233,0.0420890618387858,0.0332945,1.5301444788411458,2614.132230852735,70.44470402338979,244.93986099926903,1.0
Llama2-7B,8,2,4,32,32,128,0.024955,0.0040872168477376,0.00233,0.0313722168477376,0.0186065,1.172517439127604,1705.7315595135824,80.24991667735729,200.98656751492004,1.0
Llama2-7B,8,1,8,32,32,128,0.0189785,0.0042958331044514,0.00233,0.0256043331044514,0.0112625,0.9806011593424478,1019.7826001659638,94.98510957717862,156.40249093905382,1.0
Llama2-7B,8,8,1,32,32,256,0.059896,0.0032527518208821,0.00277,0.0659187518208821,0.0623185,2.3217185582682287,3445.7234153166287,67.04679850880635,279.8467281154267,1.0
Llama2-7B,8,4,2,32,32,256,0.036806,0.0038090618387858,0.00277,0.0433850618387858,0.0332945,1.5716164788411455,2545.150202897757,70.680796653472,240.04508997674293,1.0
Llama2-7B,8,2,4,32,32,256,0.025811,0.0040872168477376,0.00277,0.0326682168477376,0.0186065,1.213989439127604,1647.4607896401783,80.48733432014454,194.8959124020392,1.0
Llama2-7B,8,1,8,32,32,256,0.0198345,0.0042958331044514,0.00277,0.0269003331044515,0.0112625,1.022073159342448,978.4035427007508,95.22517724537592,150.03084468567383,1.0
Llama2-7B,8,8,1,32,32,384,0.0607575,0.0032527518208821,0.00321,0.0672202518208821,0.0623185,2.363366558268229,3385.0017772368105,66.9950086495815,275.6655912833044,1.0
Llama2-7B,8,4,2,32,32,384,0.0376675,0.0038090618387858,0.00321,0.0446865618387858,0.0332945,1.6132644788411457,2479.4446617167914,70.91694513018653,235.33863785155165,1.0
Llama2-7B,8,2,4,32,32,384,0.0266725,0.0040872168477376,0.00321,0.0339697168477376,0.0186065,1.255637439127604,1592.8164752634063,80.7248078095641,189.1573901245761,1.0
Llama2-7B,8,1,8,32,32,384,0.020696,0.0042958331044514,0.00321,0.0282018331044515,0.0112625,1.0637211593424478,940.0959934069208,95.46530076020554,144.14817591594627,1.0
Llama2-7B,8,8,1,32,32,512,0.0616085,0.0032527518208821,0.00365,0.0685112518208821,0.0623185,2.404678558268229,3326.8479782850222,67.51767133635965,273.9787177757924,1.0
Llama2-7B,8,4,2,32,32,512,0.0385185,0.0038090618387858,0.00365,0.0459775618387858,0.0332945,1.6545764788411457,2417.5370864703536,71.15299449373033,230.90526141247167,1.0
Llama2-7B,8,2,4,32,32,512,0.0275235,0.0040872168477376,0.00365,0.0352607168477376,0.0186065,1.296949439127604,1542.0801610780638,80.9621821858129,183.8478531659601,1.0
Llama2-7B,8,1,8,32,32,512,0.021547,0.0042958331044514,0.00365,0.0294928331044515,0.0112625,1.1050331593424478,904.9502194079424,95.70532516186438,138.80314713455533,1.0
Llama2-7B,8,8,1,32,32,640,0.064272,0.0032527518208821,0.00409,0.0716147518208821,0.0623185,2.503990558268229,3194.9002257951147,68.91321948876647,268.05303821557766,1.0
Llama2-7B,8,4,2,32,32,640,0.039374,0.0038090618387858,0.00409,0.0472730618387858,0.0332945,1.6960324788411458,2358.4454011948487,71.38911258691873,226.6378593326774,1.0
Llama2-7B,8,2,4,32,32,640,0.028379,0.0040872168477376,0.00409,0.0365562168477376,0.0186065,1.338405439127604,1494.3155052505126,81.19962529170628,178.82859088521957,1.0
Llama2-7B,8,1,8,32,32,640,0.0224025,0.0042958331044514,0.00409,0.0307883331044514,0.0112625,1.1464891593424478,872.2280466860545,95.94541829316788,133.8374878545473,1.0
Llama2-7B,8,8,1,32,32,768,0.065128,0.0032527518208821,0.00453,0.0729107518208821,0.0623185,2.545462558268229,3142.847249516288,69.14864961249617,265.43364456338355,1.0
Llama2-7B,8,4,2,32,32,768,0.04023,0.0038090618387858,0.00453,0.0485690618387858,0.0332945,1.7375044788411458,2302.152339007413,71.62520521700091,222.54910892679888,1.0
Llama2-7B,8,2,4,32,32,768,0.029235,0.0040872168477376,0.00453,0.0378522168477376,0.0186065,1.379877439127604,1449.4040871227332,81.43704293449358,174.1000575818658,1.0
Llama2-7B,8,1,8,32,32,768,0.0232585,0.0042958331044514,0.00453,0.0320843331044515,0.0112625,1.187961159342448,841.7783629841173,96.18548596136516,129.23432019660174,1.0
Llama2-7B,8,8,1,32,32,896,0.0659895,0.0032527518208821,0.00497,0.0742122518208821,0.0623185,2.587110558268229,3092.2528511325286,69.09851810897064,261.7784575916267,1.0
Llama2-7B,8,4,2,32,32,896,0.0410915,0.0038090618387858,0.00497,0.0498705618387858,0.0332945,1.779152478841146,2248.2614883044803,71.8613536937155,218.6016380933876,1.0
Llama2-7B,8,2,4,32,32,896,0.0300965,0.0040872168477376,0.00497,0.0391537168477376,0.0186065,1.4215254391276042,1406.9392955974167,81.67451642391316,169.6096647947294,1.0
Llama2-7B,8,1,8,32,32,896,0.02412,0.0042958331044514,0.00497,0.0333858331044515,0.0112625,1.229609159342448,813.2665509215669,96.42560947619482,124.92953134871848,1.0
